product_name,image,price,link 
OcUK Gaming KUBE - Custom Small Form Factor Gaming PC, https://www.overclockers.co.uk/media/image/thumbnail/FS1BTOG_171625_210x210.jpg, £979.00 , https://www.overclockers.co.uk/ocuk-gaming-kube-custom-small-form-factor-gaming-pc-fs-1bt-og.html
Intel NUC NUC6i7KYK3 Core i7-6770HQ "Skull Canyon" Barebones Micro PC, https://www.overclockers.co.uk/media/image/thumbnail/FS000IF_140377_210x210.jpg, £539.99 , https://www.overclockers.co.uk/intel-nuc-nuc6i7kyk3-core-i7-6770hq-skull-canyon-barebones-micro-pc-fs-000-if.html
OcUK Gaming Pyrite Gaming PC - Intel Core i5 10400F| Nvidia RTX Gaming PC, https://www.overclockers.co.uk/media/image/thumbnail/FS1EHOG_264749_210x210.jpg, £949.99 , https://www.overclockers.co.uk/ocuk-gaming-pyrite-gaming-pc-intel-core-i5-10400f-nvidia-rtx-gaming-pc-fs-1eh-og.html
MSI GL65 NVIDIA RTX 2060| 8GB| 15.6" 120hz FHD| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT2B8MS_247987_210x210.jpg, £1|099.99 , https://www.overclockers.co.uk/msi-gl65-nvidia-rtx-2060-8gb-15.6-120hz-fhd-i7-10750h-gaming-laptop-lt-2b8-ms.html
MSI GS66 NVIDIA RTX 2060| 16GB| 15.6" 240hz FHD| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT2B4MS_247988_210x210.jpg, £1|499.99 , https://www.overclockers.co.uk/msi-gs66-nvidia-rtx-2060-16gb-15.6-240hz-fhd-i7-10750h-gaming-laptop-lt-2b4-ms.html
Gigabyte AORUS 7 NVIDIA RTX 2060| 16GB| 17.3" LG 144Hz| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0BJGI_258318_210x210.jpg, £1|399.99 , https://www.overclockers.co.uk/gigabyte-aorus-7-nvidia-rtx-2060-16gb-17.3-lg-144hz-i7-10750h-gaming-laptop-lt-0bj-gi.html
Razer Blade 15 NVIDIA GTX 1660 Ti| 16GB| 15.6" FHD 144hz| Intel i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT01ARA_245949_210x210.jpg, £1|549.99 , https://www.overclockers.co.uk/razer-blade-15-nvidia-gtx-1660-ti-16gb-15.6-fhd-144hz-intel-i7-10750h-gaming-laptop-lt-01a-ra.html
Razer Core X External Graphics Card Enclosure (Thunderbolt 3) - Black, https://www.overclockers.co.uk/media/image/thumbnail/LT00MRA_210923_210x210.jpg, £289.99 , https://www.overclockers.co.uk/razer-core-x-external-graphics-card-enclosure-thunderbolt-3-black-lt-00m-ra.html
Razer Blade Stealth 13 NVIDIA GTX 1650 Ti| 16GB| 13.3" 120Hz FHD| Intel i7-1065G7 Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT01BRA_247208_210x210.jpg, £1|549.99 , https://www.overclockers.co.uk/razer-blade-stealth-13-nvidia-gtx-1650-ti-16gb-13.3-120hz-fhd-intel-i7-1065g7-gaming-laptop-lt-01b-ra.html
HP OMEN 15-dh1018na NVIDIA RTX 2070| 16GB| 15.6" 144Hz FHD| Intel i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT053HP_255684_210x210.jpg, £1|399.99 , https://www.overclockers.co.uk/hp-omen-15-dh1018na-nvidia-rtx-2070-16gb-15.6-144hz-fhd-intel-i7-10750h-gaming-laptop-lt-053-hp.html
HP Pavillion 15-dk1024na NVIDIA RTX 2060| 16GB| 15.6" 144Hz FHD| Intel i5-10300H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT04ZHP_257005_210x210.jpg, £999.95 , https://www.overclockers.co.uk/hp-pavillion-15-dk1024na-nvidia-rtx-2060-16gb-15.6-144hz-fhd-intel-i5-10300h-gaming-laptop-lt-04z-hp.html
Lenovo Legion 5i NVIDIA GTX 1660 Ti| 16GB| 15.6" FHD IPS 144Hz| Intel i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT016LV_255511_210x210.jpg, £1|099.99 , https://www.overclockers.co.uk/lenovo-legion-5i-nvidia-gtx-1660-ti-16gb-15.6-fhd-ips-144hz-intel-i7-10750h-gaming-laptop-lt-016-lv.html
Gigabyte AERO 17 HDR YB NVIDIA RTX 2080 Super| 64GB| 17.3" 4K UHD| i9-10980HK Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0ATGI_245064_210x210.jpg, £3|999.95 , https://www.overclockers.co.uk/gigabyte-aero-17-hdr-yb-nvidia-rtx-2080-super-64gb-17.3-4k-uhd-i9-10980hk-gaming-laptop-lt-0at-gi.html
HP Pavillion 17-cd1015na NVIDIA RTX 2060| 16GB| 17.3" 144Hz FHD| Intel i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT051HP_257007_210x210.jpg, £1|199.99 , https://www.overclockers.co.uk/hp-pavillion-17-cd1015na-nvidia-rtx-2060-16gb-17.3-144hz-fhd-intel-i7-10750h-gaming-laptop-lt-051-hp.html
MSI GF65 NVIDIA GTX 1660 Ti| 8GB| 15.6" 120Hz FHD| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT2BTMS_252699_210x210.jpg, £999.95 , https://www.overclockers.co.uk/msi-gf65-nvidia-gtx-1660-ti-8gb-15.6-120hz-fhd-i7-10750h-gaming-laptop-lt-2bt-ms.html
ASUS ROG ZEPHYRUS S15 GX502LXS NVIDIA RTX 2080 Super| 32GB| 15.6" 300Hz| Intel i7-10875H Gaming Lapt, https://www.overclockers.co.uk/media/image/thumbnail/LT2AKAS_245620_210x210.jpg, £2|899.99 , https://www.overclockers.co.uk/asus-rog-zephyrus-s15-gx502lxs-nvidia-rtx-2080-super-32gb-15.6-300hz-intel-i7-10875h-gaming-lapt-lt-2ak-as.html
